 ,Soil,Month,State,Rice,Wheat,Cotton,Sugarcane,Tea,Ragi,Maize,Millet,Barley,Target
56,1,5,14,1,0,0,1,0,0,0,0,0,14
57,1,5,15,1,0,0,0,0,0,0,0,0,1
58,1,5,16,1,0,0,0,0,0,0,0,0,1
59,1,5,17,1,0,0,0,0,0,0,0,0,1
60,1,5,18,1,0,0,1,0,0,0,0,0,14
61,1,6,1,1,0,1,1,0,0,0,0,0,134
62,1,6,2,1,0,0,0,0,0,0,0,0,1
63,1,6,3,1,0,0,0,0,0,0,0,0,1
64,1,6,4,1,0,1,0,0,0,0,0,0,13
65,1,6,5,1,0,1,0,0,0,0,0,0,13
66,1,6,6,1,0,0,0,0,0,0,0,0,1
67,1,6,7,1,0,1,1,0,0,0,0,0,134
68,1,6,8,1,0,0,0,0,0,0,0,0,1
69,1,6,9,1,0,1,0,0,0,0,0,0,13
70,1,6,10,1,0,1,1,0,0,0,0,0,134
71,1,6,11,1,0,1,0,0,0,0,0,0,13
72,1,6,12,1,0,1,0,0,0,0,0,0,13
73,1,6,19,0,0,1,0,0,0,0,0,0,3
74,1,6,13,1,0,1,1,0,0,0,0,0,134
75,1,6,14,1,0,0,1,0,0,0,0,0,14
76,1,6,15,1,0,0,0,0,0,0,0,0,1
77,1,6,16,1,0,0,0,0,0,0,0,0,1
78,1,6,17,1,0,0,0,0,0,0,0,0,1
79,1,6,18,1,0,0,1,0,0,0,0,0,14
80,1,7,1,1,0,1,1,0,0,0,0,0,134
81,1,7,2,1,0,0,0,0,0,0,0,0,1
82,1,7,3,1,0,0,0,0,0,0,0,0,1
83,1,7,4,1,0,1,0,0,0,0,0,0,13
84,1,7,5,1,0,1,0,0,0,0,0,0,13
85,1,7,6,1,0,0,0,0,0,0,0,0,1
86,1,7,7,1,0,1,1,0,0,0,0,0,134
87,1,7,8,1,0,0,0,0,0,0,0,0,1
88,1,7,9,1,0,1,0,0,0,0,0,0,13
89,1,7,10,1,0,1,1,0,0,0,0,0,134
90,1,7,11,1,0,1,0,0,0,0,0,0,13
91,1,7,12,1,0,1,0,0,0,0,0,0,13
92,1,7,19,0,0,1,0,0,0,0,0,0,3
93,1,7,13,1,0,1,1,0,0,0,0,0,134
94,1,7,14,1,0,0,1,0,0,0,0,0,14
95,1,7,15,1,0,0,0,0,0,0,0,0,1
96,1,7,16,1,0,0,0,0,0,0,0,0,1
97,1,7,17,1,0,0,0,0,0,0,0,0,1
98,1,7,18,1,0,0,1,0,0,0,0,0,14
99,1,8,1,1,0,1,1,0,0,0,0,0,134
100,1,8,2,1,0,0,0,0,0,0,0,0,1
101,1,8,3,1,0,0,0,0,0,0,0,0,1
102,1,8,4,1,0,1,0,0,0,0,0,0,13
103,1,8,5,1,0,1,0,0,0,0,0,0,13
104,1,8,6,1,0,0,0,0,0,0,0,0,1
105,1,8,7,1,0,1,1,0,0,0,0,0,134
106,1,8,8,1,0,0,0,0,0,0,0,0,1
107,1,8,9,1,0,1,0,0,0,0,0,0,13
108,1,8,10,1,0,1,1,0,0,0,0,0,134
109,1,8,11,1,0,1,0,0,0,0,0,0,13
110,1,8,12,1,0,1,0,0,0,0,0,0,13
111,1,8,19,0,0,1,0,0,0,0,0,0,3
112,1,8,13,1,0,1,1,0,0,0,0,0,134
113,1,8,14,1,0,0,1,0,0,0,0,0,14
114,1,8,15,1,0,0,0,0,0,0,0,0,1
115,1,8,16,1,0,0,0,0,0,0,0,0,1
116,1,8,17,1,0,0,0,0,0,0,0,0,1
117,1,8,18,1,0,0,1,0,0,0,0,0,14
118,1,9,1,1,0,0,0,0,0,0,0,0,1
119,1,9,2,1,0,0,0,0,0,0,0,0,1
120,1,9,3,1,0,0,0,0,0,0,0,0,1
121,1,9,4,1,0,0,0,0,0,0,0,0,1
122,1,9,5,1,0,0,0,0,0,0,0,0,1
123,1,9,6,1,0,0,0,0,0,0,0,0,1
124,1,9,7,1,0,0,0,0,0,0,0,0,1
125,1,9,8,1,0,0,0,0,0,0,0,0,1
126,1,9,9,1,0,0,0,0,0,0,0,0,1
127,1,9,10,1,0,0,0,0,0,0,0,0,1
128,1,9,11,1,0,0,0,0,0,0,0,0,1
129,1,9,12,1,0,0,0,0,0,0,0,0,1
130,1,9,13,1,0,0,0,0,0,0,0,0,1
131,1,9,14,1,0,0,0,0,0,0,0,0,1
132,1,9,15,1,0,0,0,0,0,0,0,0,1
133,1,9,16,1,0,0,0,0,0,0,0,0,1
134,1,9,17,1,0,0,0,0,0,0,0,0,1
135,1,9,18,1,0,0,0,0,0,0,0,0,1
136,1,10,3,0,1,0,0,0,0,0,0,0,2
137,1,10,4,0,1,0,0,0,0,0,0,0,2
138,1,10,5,0,1,0,0,0,0,0,0,0,2
139,1,10,6,0,1,0,0,0,0,0,0,0,2
